contract_id,address,code_hash,label,explain,split,source,explain_source
ponzi_e_00000,0x996566c678c20f94e352301ce70c0797d81462a2,c117d514d8dd5586bf71ae9e6b046d23e56e470ecb0a359b1f47b95a8ce04017,1,"emit LogReferralInvestment(_referrer, msg.sender, msg.value);
---
msg.sender.transfer(msg.value * 1 / 100);
---
msg.sender.transfer(msg.value);
---
deposit[msg.sender][index[msg.sender]] = msg.value;
---
marketing.transfer(msg.value * 6 / 100);
---
marketing.transfer(msg.value * 9 / 100);
---
admin.transfer(msg.value * 3 / 100);
---
marketing.transfer(msg.value * 9 / 100);",val,datafiles/processed/full_processed_with_groups.csv,heuristic_generated_from_source
ponzi_e_00001,0xf1d185bf90f83ee9a9c4bafb9182ca6051628fff,425d0b0acac336846d03d67d631ea59126e48399be334cb248f0957d5910f147,1,"emit LogReferralInvestment(_referrer, msg.sender, msg.value);
---
msg.sender.transfer(msg.value * 1 / 100);
---
msg.sender.transfer(msg.value);
---
deposit[msg.sender][index[msg.sender]] = msg.value;
---
marketing.transfer(msg.value * 6 / 100);
---
marketing.transfer(msg.value * 9 / 100);
---
admin.transfer(msg.value * 3 / 100);
---
marketing.transfer(msg.value * 9 / 100);",val,datafiles/PonziDataset_20221114_explain_augmented_negatives.csv,heuristic_generated_from_source
ponzi_e_00002,0xb09bed9e75fadfe18bb607577d28f83f4f1ad67a,288dfbb3e676800391949e0c0848001a562fab3e6f951345b744c073e3936ab8,1,"emit LogReferralInvestment(_referrer, msg.sender, msg.value);
---
msg.sender.transfer(msg.value * 2 / 100);
---
msg.sender.transfer(msg.value);
---
deposit[msg.sender][index[msg.sender]] = msg.value;
---
marketing.transfer(msg.value * 6 / 100);
---
marketing.transfer(msg.value * 15 / 100);
---
admin.transfer(msg.value * 3 / 100);
---
marketing.transfer(msg.value * 15 / 100);",train,datafiles/processed/full_processed_with_groups.csv,heuristic_generated_from_source
ponzi_e_00003,0x124374f24bff86cf043e31344077ece93bd46b57,34a7f81e59d42d802e2c6ae157355029da0a33002598fc39ffa251a0a683ee19,1,"var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
msg.sender.transfer(balance);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
contractOwner.transfer(this.balance);",val,datafiles/processed/full_processed_with_groups.csv,heuristic_generated_from_source
ponzi_e_00004,0x124374f24bff86cf043e31344077ece93bd46b57,7b37d7f78f60d4039f7ca53102ebdde2ae8a5623caa7313baf4d59d39f2454d5,1,"var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
msg.sender.transfer(balance);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
contractOwner.transfer(this.balance);",train,datafiles/processed/full_processed_with_groups.csv,heuristic_generated_from_source
ponzi_e_00005,0x124374f24bff86cf043e31344077ece93bd46b57,13631a9ad25a138713006d0c9729aa4ea147d33155cd8bb6265dbb08797896cc,1,"var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
msg.sender.transfer(balance);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
contractOwner.transfer(this.balance);",train,datafiles/PonziDataset_20221114_explain_augmented_negatives.csv,heuristic_generated_from_source
ponzi_e_00006,0xb47841728f10f39abad9d799e8f6ba05e30c1b9d,867a2105f50960f7a69004fa0c6d9ca7bd3eb40abb2175baf82f99d8e3263347,1,"var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
msg.sender.transfer(balance);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
contractOwner.transfer(this.balance);",train,datafiles/processed/full_processed_with_groups.csv,heuristic_generated_from_source
ponzi_e_00007,0xb47841728f10f39abad9d799e8f6ba05e30c1b9d,36cf3189112c1a441d9cb3abbb8b04ae96b0203bbe2f64acd8958194d404ff19,1,"var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
msg.sender.transfer(balance);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
contractOwner.transfer(this.balance);",train,datafiles/processed/full_processed_with_groups.csv,heuristic_generated_from_source
ponzi_e_00008,0xe520035ae79e2cda8b9c1983fe810ea57bf5ccbc,fda5cb67e73efeea3919a527dc3ee8cabc344c599d51dfb32796d102519da2ce,1,"var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
msg.sender.transfer(balance);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
contractOwner.transfer(this.balance);",val,datafiles/processed/full_processed_with_groups.csv,heuristic_generated_from_source
ponzi_e_00009,0xe520035ae79e2cda8b9c1983fe810ea57bf5ccbc,874fe51d89471d3ee9903439e9ec6a7ac4a8c6f1915d1441bb367e1f853ad86b,1,"var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
msg.sender.transfer(balance);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
var balance = dividends(msg.sender);
---
payouts[msg.sender] += (int256) (balance * scaleFactor);
---
contractOwner.transfer(this.balance);",train,datafiles/processed/full_processed_with_groups.csv,heuristic_generated_from_source
